,failures,is_math,higher,health,Mjob,studytime,goout,reason,traveltime,activities,famsup,nursery,Total_alc,GPA
0,0,0,yes,3,at_home,2,4,course,2,no,no,yes,1,2.8813999999999993
1,0,0,yes,3,at_home,2,3,course,1,no,yes,no,1,2.7192999999999885
2,0,0,yes,3,at_home,2,2,other,1,no,no,yes,6,3.0696000000000074
3,0,0,yes,5,health,3,2,home,1,yes,yes,yes,1,3.475700000000025
4,0,0,yes,5,other,2,2,home,1,no,yes,yes,2,3.0696000000000074
5,0,0,yes,5,services,2,2,reputation,1,yes,yes,yes,2,3.0696000000000074
6,0,0,yes,3,other,2,4,home,1,no,no,yes,1,3.2752000000000288
7,0,0,yes,1,other,2,4,home,2,no,yes,yes,1,3.0696000000000074
8,0,0,yes,1,services,2,2,home,1,no,yes,yes,1,3.7865999999999556
9,0,0,yes,5,other,2,1,home,1,yes,yes,yes,1,3.0696000000000074
10,0,0,yes,2,teacher,2,3,reputation,1,no,yes,yes,2,3.475700000000025
11,0,0,yes,4,services,3,2,reputation,3,yes,yes,yes,1,2.960799999999995
12,0,0,yes,5,health,1,3,course,1,yes,yes,yes,3,3.0696000000000074
13,0,0,yes,3,teacher,2,3,course,2,no,yes,yes,2,3.0696000000000074
14,0,0,yes,3,other,3,2,home,1,no,yes,yes,1,3.475700000000025
15,0,0,yes,2,health,1,4,home,1,no,yes,yes,2,3.9566999999999948
16,0,0,yes,2,services,3,3,reputation,1,yes,yes,yes,2,3.3987000000000243
17,0,0,yes,4,other,2,2,reputation,3,yes,yes,yes,1,3.4567000000000245
18,3,0,yes,5,services,1,5,course,1,yes,yes,yes,8,2.0212000000000065
19,0,0,yes,5,health,1,3,home,1,yes,no,yes,3,3.0696000000000074
20,0,0,yes,1,teacher,2,1,reputation,1,no,no,yes,1,3.2804000000000295
21,0,0,yes,5,health,1,2,other,1,no,yes,yes,1,2.960799999999995
22,0,0,yes,5,teacher,2,1,course,1,yes,no,yes,3,3.2804000000000295
23,0,0,yes,5,other,2,4,reputation,2,yes,yes,yes,8,2.6274999999999995
24,0,0,yes,5,services,3,2,course,1,yes,yes,yes,1,2.7192999999999885
25,0,0,yes,5,services,1,2,home,1,no,yes,no,3,2.8813999999999993
26,0,0,yes,5,other,1,2,home,1,no,yes,yes,2,2.960799999999995
27,0,0,yes,1,health,1,4,other,1,no,no,yes,8,2.8813999999999993
28,0,0,yes,5,services,2,3,home,1,yes,yes,yes,1,3.0696000000000074
29,0,0,yes,5,teacher,2,5,home,1,yes,yes,yes,25,2.960799999999995
30,0,0,yes,5,health,2,2,home,1,no,yes,no,12,2.753599999999988
31,0,0,yes,5,services,2,1,reputation,2,yes,yes,yes,1,3.7431999999999626
32,0,0,yes,5,teacher,2,2,course,1,yes,yes,yes,1,3.475700000000025
33,0,0,yes,2,other,2,2,course,1,yes,no,no,1,3.0696000000000074
34,0,0,yes,5,other,1,3,home,1,no,yes,no,1,3.0696000000000074
35,0,0,yes,5,other,1,1,other,2,yes,yes,yes,1,2.8813999999999993
36,0,0,yes,4,teacher,3,3,home,1,yes,yes,yes,1,3.475700000000025
37,0,0,yes,5,other,3,3,reputation,2,yes,yes,yes,1,3.2804000000000295
38,0,0,yes,5,services,3,2,course,1,yes,yes,yes,1,2.960799999999995
39,0,0,yes,2,at_home,1,1,reputation,1,yes,yes,yes,1,3.2804000000000295
40,0,0,yes,3,other,2,3,home,2,yes,yes,no,2,2.753599999999988
41,0,0,yes,5,teacher,1,3,home,1,no,yes,no,8,2.753599999999988
42,0,0,yes,5,services,2,3,course,1,yes,yes,yes,1,3.630499999999973
43,0,0,yes,1,services,1,1,course,1,no,yes,yes,1,2.5397000000000025
44,1,0,yes,5,other,2,3,course,2,yes,no,yes,4,2.753599999999988
45,0,0,yes,5,other,2,2,course,1,yes,yes,yes,1,2.753599999999988
46,0,0,yes,3,other,2,5,home,1,no,yes,yes,4,3.2752000000000288
47,0,0,yes,2,health,4,2,reputation,1,yes,no,yes,1,3.9566999999999948
48,0,0,yes,5,teacher,2,3,home,1,no,yes,yes,4,3.0696000000000074
49,0,0,yes,3,services,2,4,other,1,yes,yes,no,1,3.0696000000000074
50,0,0,yes,4,services,2,3,course,3,no,yes,yes,6,3.3987000000000243
51,0,0,yes,5,health,2,3,other,1,no,yes,yes,1,3.7865999999999556
52,0,0,yes,5,health,1,5,other,2,no,no,yes,12,2.403800000000029
53,0,0,yes,5,services,1,4,course,1,no,yes,yes,6,3.0696000000000074
54,0,0,yes,1,other,1,4,other,1,no,no,yes,16,3.2752000000000288
55,0,0,yes,2,other,2,4,other,1,yes,no,yes,1,3.0696000000000074
56,0,0,yes,1,services,2,2,reputation,1,yes,yes,yes,1,3.630499999999973
57,0,0,yes,5,teacher,2,2,reputation,1,yes,yes,yes,1,3.7865999999999556
58,0,0,yes,5,other,2,2,home,1,yes,yes,yes,1,3.4567000000000245
59,0,0,yes,5,services,2,3,course,1,no,yes,yes,1,3.7865999999999556
60,0,0,yes,4,health,2,4,other,1,yes,yes,yes,6,3.9080999999999833
61,0,0,yes,5,services,1,5,course,4,yes,yes,no,25,3.0696000000000074
62,0,0,yes,1,other,2,3,reputation,1,yes,no,yes,1,3.0696000000000074
63,0,0,yes,4,teacher,3,4,home,1,yes,yes,yes,8,3.3987000000000243
64,0,0,yes,2,services,2,4,reputation,1,yes,no,yes,8,3.0696000000000074
65,0,0,yes,1,teacher,2,3,course,3,yes,yes,yes,2,3.7865999999999556
66,0,0,yes,3,other,4,3,reputation,1,yes,yes,no,25,2.960799999999995
67,0,0,yes,5,services,4,3,course,1,no,yes,yes,2,2.5397000000000025
68,0,0,yes,4,health,2,3,reputation,2,no,yes,yes,3,2.753599999999988
69,0,0,yes,3,other,4,2,reputation,2,no,yes,no,6,3.7431999999999626
70,0,0,yes,5,other,4,2,reputation,2,no,yes,yes,1,2.960799999999995
71,0,0,yes,3,other,4,3,course,1,no,no,yes,1,2.6274999999999995
72,0,0,yes,5,other,2,4,reputation,1,no,yes,no,8,2.960799999999995
73,0,0,yes,5,other,1,2,reputation,1,yes,no,yes,4,3.3987000000000243
74,0,0,yes,5,other,2,3,home,1,yes,yes,yes,8,2.8813999999999993
75,0,0,yes,5,teacher,2,3,home,1,yes,yes,yes,6,2.8813999999999993
76,0,0,yes,1,teacher,4,3,course,2,yes,no,yes,1,2.938699999999997
77,0,0,yes,3,other,4,3,reputation,1,no,no,yes,3,3.2804000000000295
78,3,0,no,3,other,1,1,home,2,yes,yes,yes,1,2.403800000000029
79,0,0,yes,3,at_home,2,3,course,1,no,yes,yes,2,2.938699999999997
80,0,0,yes,3,other,1,2,course,1,yes,yes,no,3,2.938699999999997
81,0,0,yes,5,other,3,2,home,1,no,no,no,2,2.403800000000029
82,0,0,yes,5,services,2,4,reputation,1,no,yes,yes,1,2.938699999999997
83,0,0,yes,4,services,2,3,home,2,yes,no,yes,3,3.2752000000000288
84,0,0,yes,4,other,2,2,home,1,yes,yes,no,6,3.0696000000000074
85,0,0,yes,5,services,2,4,reputation,2,no,no,yes,6,2.960799999999995
86,0,0,yes,2,at_home,2,4,course,1,no,yes,yes,2,2.960799999999995
87,0,0,yes,1,other,3,3,reputation,1,yes,yes,yes,3,3.7431999999999626
88,0,0,yes,3,services,2,2,reputation,2,yes,no,no,1,2.8813999999999993
